Gen,genesis,창,창세기
Exo,exodus,출,출애굽기
Lev,leviticus,레,레위기
Num,numbers,민,민수기
Deu,deuteronomy,신,신명기
Jos,joshua,수,여호수아
Jdg,judges,삿,사사기
Rut,ruth,룻,룻기
1Sa,1samuel,삼상,사무엘상
2Sa,2samuel,삼하,사무엘하
1Ki,1kings,왕상,열왕기상
2Ki,2kings,왕하,열왕기하
1Ch,1chronicles,대상,역대상
2Ch,2chronicles,대하,역대하
Ezr,ezra,스,에스라
Neh,nehemiah,느,느헤미야
Est,esther,에,에스더
Job,job,욥,욥기
Psa,psalms,시,시편
Pro,proverbs,잠,잠언
Ecc,ecclesiastes,전,전도서
Sol,song of solomon,아,아가
Isa,isaiah,사,이사야
Jer,jeremiah,렘,예레미야
Lam,lamentations,애,예레미야애가
Eze,ezekiel,겔,에스겔
Dan,daniel,단,다니엘
Hos,hosea,호,호세아
Joe,joel,욜,요엘
Amo,amos,암,아모스
Oba,obadiah,옵,오바댜
Jon,jonah,욘,요나
ic,micah,미,미가
Nah,nahum,나,나홈
Hab,habakkuk,합,하박국
Zep,zephaniah,습,스바냐
Hag,haggai,학,학개
Zec,zechariah,슥,스가랴
al,malachi,말,말라기
at,matthew,마,마태복음
ar,mark,막,마가복음
Luk,luke,눅,누가복음
Joh,john,요,요한복음
Act,acts,행,사도행전
Rom,romans,롬,로마서
1Co,1corinthians,고전,고린도전서
2Co,2corinthians,고후,고린도후서
Gal,galatians,갈,갈라디아서
Eph,ephesians,엡,에베소서
Phi,philippians,빌,빌립보서
Col,colossians,골,골로새서
1Th,1thessalonians,살전,데살로니가전서
2Th,2thessalonians,살후,데살로니가후서
1Ti,1timothy,딤전,디모데전서
2Ti,2timothy,딤후,디모데후서
Tit,titus,딛,디도서
Phm,philemon,몬,빌레몬서
Heb,hebrews,히,히브리서
Jam,james,약,야고보서
1Pe,1peter,벧전,베드로전서
2Pe,2peter,벧후,베드로후서
1Jo,1john,요일,요한1서
2Jo,2john,요이,요한2서
3Jo,3john,요삼,요한3서
Jud,jude,유,유다서
Rev,revelation,계,요한계시록
